"source","target","value"
"Brevard","Indian River",44.32
"Brevard","Orange",454.35
"Brevard","Osceola",161.43
"Brevard","Seminole",72.17
"Brevard","Sumter",22.81
"Indian River","Brevard",26.2
"Indian River","Orange",266.24
"Indian River","Seminole",35.38
"Indian River","Volusia",43.13
"Lake","Orange",441.66
"Lake","Osceola",81.25
"Lake","Seminole",151.27
"Lake","Sumter",246.78
"Orange","Brevard",112.24
"Orange","Indian River",35.35
"Orange","Lake",335.74
"Orange","Osceola",570.37
"Orange","Polk",155.27
"Orange","Seminole",886.65
"Orange","Sumter",50.41
"Orange","Volusia",67.98
"Osceola","Brevard",5.14
"Osceola","Lake",65.78
"Osceola","Orange",1102.58
"Osceola","Polk",131.45
"Osceola","Volusia",27.25
"Polk","Lake",97.67
"Polk","Orange",575.52
"Polk","Osceola",201.93
"Polk","Seminole",102.39
"Polk","Sumter",11.97
"Seminole","Lake",33.94
"Seminole","Orange",980.38
"Seminole","Polk",43.93
"Seminole","Volusia",63.37
"Sumter","Lake",526.49
"Sumter","Orange",186.35
"Sumter","Polk",71.81
"Sumter","Seminole",30.67
"Sumter","Volusia",86.61
"Volusia","Brevard",26.91
"Volusia","Lake",26.27
"Volusia","Orange",355.15
"Volusia","Osceola",44.71
"Volusia","Polk",46.19
"Volusia","Seminole",295.44
"Volusia","Sumter",61.14
