"source","target","value"
"Brevard","Indian River",984.17
"Brevard","Lake",347.59
"Brevard","Orange",21020.45
"Brevard","Osceola",2811.69
"Brevard","Polk",364.22
"Brevard","Seminole",2570.38
"Brevard","Sumter",38.31
"Brevard","Volusia",779.79
"Indian River","Brevard",1174.96
"Indian River","Lake",32.27
"Indian River","Orange",217.65
"Indian River","Osceola",275.78
"Indian River","Seminole",32.25
"Lake","Brevard",285.18
"Lake","Indian River",63.87
"Lake","Orange",84867.44
"Lake","Osceola",9370.13
"Lake","Polk",3013.62
"Lake","Seminole",16991.91
"Lake","Sumter",2971.04
"Lake","Volusia",1996.11
"Orange","Brevard",23483.79
"Orange","Indian River",358.4
"Orange","Lake",93804.91
"Orange","Osceola",9188.12
"Orange","Polk",58632.52
"Orange","Seminole",13058.85
"Orange","Sumter",1724.01
"Orange","Volusia",43522.88
"Osceola","Brevard",2999.45
"Osceola","Indian River",469.96
"Osceola","Lake",10045.94
"Osceola","Orange",8208.98
"Osceola","Polk",39024.3
"Osceola","Seminole",462.5
"Osceola","Sumter",296.39
"Osceola","Volusia",1515.17
"Polk","Brevard",369.11
"Polk","Indian River",68.35
"Polk","Lake",2493.19
"Polk","Orange",55590.86
"Polk","Osceola",35966.93
"Polk","Seminole",1862.81
"Polk","Sumter",239.7
"Polk","Volusia",424.94
"Seminole","Brevard",2443.04
"Seminole","Indian River",74.34
"Seminole","Lake",18898.38
"Seminole","Orange",11560.69
"Seminole","Osceola",607.1
"Seminole","Polk",2129.41
"Seminole","Sumter",208.76
"Seminole","Volusia",80514.96
"Sumter","Brevard",38.31
"Sumter","Lake",2952.91
"Sumter","Orange",1742.09
"Sumter","Osceola",208.3
"Sumter","Polk",287.05
"Sumter","Seminole",239.05
"Sumter","Volusia",76.4
"Volusia","Brevard",717.62
"Volusia","Lake",1977.64
"Volusia","Orange",39213.06
"Volusia","Osceola",1479
"Volusia","Polk",247.38
"Volusia","Seminole",71924.02
