"source","target","value"
"Brevard","Orange",30.31
"Brevard","Osceola",36.69
"Brevard","Volusia",38.15
"Indian River","Brevard",72.1
"Lake","Orange",14.06
"Lake","Polk",21.08
"Lake","Sumter",113.67
"Orange","Indian River",49.37
"Orange","Lake",121.74
"Orange","Osceola",298.21
"Orange","Polk",25.95
"Orange","Seminole",350.99
"Orange","Sumter",22.32
"Orange","Volusia",19.42
"Osceola","Lake",18.35
"Osceola","Orange",31.53
"Osceola","Sumter",43.86
"Polk","Orange",30.9
"Polk","Osceola",6.45
"Polk","Sumter",22.77
"Seminole","Orange",52.93
"Seminole","Osceola",5.25
"Seminole","Polk",104.2
"Seminole","Sumter",30.67
"Seminole","Volusia",50.53
"Sumter","Lake",71.76
"Sumter","Osceola",56.24
"Volusia","Brevard",60.41
"Volusia","Orange",6.56
"Volusia","Seminole",63.37
