"source","target","value"
"Brevard","Indian River",3986.08
"Brevard","Lake",46.45
"Brevard","Orange",8310.65
"Brevard","Osceola",967.18
"Brevard","Polk",57.25
"Brevard","Seminole",1689.53
"Brevard","Volusia",1685.43
"Indian River","Brevard",5302.84
"Indian River","Orange",323.23
"Indian River","Osceola",30.3
"Indian River","Polk",82.05
"Indian River","Seminole",68.7
"Indian River","Sumter",6.58
"Lake","Brevard",148.79
"Lake","Indian River",57.91
"Lake","Orange",19391.59
"Lake","Osceola",1289.02
"Lake","Polk",2021.8
"Lake","Seminole",3306.76
"Lake","Sumter",9744.03
"Lake","Volusia",1376.54
"Orange","Brevard",8797.22
"Orange","Indian River",195.12
"Orange","Lake",28295.24
"Orange","Osceola",69227.09
"Orange","Polk",17152.04
"Orange","Seminole",126745.83
"Orange","Sumter",1020.03
"Orange","Volusia",13757.98
"Osceola","Brevard",1126.04
"Osceola","Indian River",194.18
"Osceola","Lake",3331.72
"Osceola","Orange",37250.94
"Osceola","Polk",8733.69
"Osceola","Seminole",1865.05
"Osceola","Sumter",151.95
"Osceola","Volusia",353.77
"Polk","Brevard",162.21
"Polk","Indian River",35.22
"Polk","Lake",1980.42
"Polk","Orange",8254.13
"Polk","Osceola",7368.36
"Polk","Seminole",828.06
"Polk","Sumter",470.51
"Polk","Volusia",564.89
"Seminole","Brevard",1273.32
"Seminole","Indian River",93.58
"Seminole","Lake",6985.18
"Seminole","Orange",76508.28
"Seminole","Osceola",1839.16
"Seminole","Polk",1201.14
"Seminole","Sumter",140.83
"Seminole","Volusia",24094.34
"Sumter","Lake",13087.57
"Sumter","Orange",936.61
"Sumter","Osceola",76.36
"Sumter","Polk",328.2
"Sumter","Seminole",252.55
"Sumter","Volusia",285.49
"Volusia","Brevard",1225.84
"Volusia","Indian River",47.53
"Volusia","Lake",2122.2
"Volusia","Orange",5291.26
"Volusia","Osceola",248.63
"Volusia","Polk",150.27
"Volusia","Seminole",12342.44
"Volusia","Sumter",31.83
