"source","target","value"
"Brevard","Indian River",12901.6
"Brevard","Lake",2756.1
"Brevard","Orange",37588.19
"Brevard","Osceola",9434.67
"Brevard","Polk",3881.8
"Brevard","Seminole",12503.09
"Brevard","Sumter",290
"Brevard","Volusia",6913.98
"Indian River","Brevard",14794.88
"Indian River","Lake",473.85
"Indian River","Orange",2248.07
"Indian River","Osceola",520.81
"Indian River","Polk",1290.34
"Indian River","Seminole",850.49
"Indian River","Sumter",32.09
"Indian River","Volusia",729.07
"Lake","Brevard",2225.87
"Lake","Indian River",357.73
"Lake","Orange",57295.76
"Lake","Osceola",5784.08
"Lake","Polk",13974.07
"Lake","Seminole",12420.14
"Lake","Sumter",25525.63
"Lake","Volusia",10402.54
"Orange","Brevard",47934.88
"Orange","Indian River",4842.99
"Orange","Lake",80163.32
"Orange","Osceola",167520.77
"Orange","Polk",74250.63
"Orange","Seminole",249697.49
"Orange","Sumter",4270.24
"Orange","Volusia",39695.17
"Osceola","Brevard",7147.44
"Osceola","Indian River",1147.92
"Osceola","Lake",7605.7
"Osceola","Orange",90886.83
"Osceola","Polk",47542.02
"Osceola","Seminole",9091.86
"Osceola","Sumter",542.85
"Osceola","Volusia",3926.73
"Polk","Brevard",3595.8
"Polk","Indian River",1946.47
"Polk","Lake",6046.9
"Polk","Orange",27178.55
"Polk","Osceola",18921.51
"Polk","Seminole",4643.27
"Polk","Sumter",848.99
"Polk","Volusia",3578.04
"Seminole","Brevard",5829.8
"Seminole","Indian River",641.72
"Seminole","Lake",19132.08
"Seminole","Orange",187820.29
"Seminole","Osceola",6594.98
"Seminole","Polk",3894.29
"Seminole","Sumter",748.81
"Seminole","Volusia",63902.59
"Sumter","Brevard",203.08
"Sumter","Indian River",164.5
"Sumter","Lake",18526.75
"Sumter","Orange",2501.46
"Sumter","Osceola",654.75
"Sumter","Polk",1577.41
"Sumter","Seminole",825.51
"Sumter","Volusia",757.13
"Volusia","Brevard",10234.23
"Volusia","Indian River",1265.36
"Volusia","Lake",14614.32
"Volusia","Orange",37087.91
"Volusia","Osceola",3794.72
"Volusia","Polk",5420.8
"Volusia","Seminole",44739.88
"Volusia","Sumter",875.15
