"source","target","value"
"Brevard","Indian River",7086.83
"Brevard","Lake",152.34
"Brevard","Orange",12871.92
"Brevard","Osceola",2130.08
"Brevard","Seminole",1266.04
"Brevard","Volusia",1810.39
"Indian River","Brevard",4618.32
"Indian River","Orange",42.65
"Indian River","Osceola",211.27
"Indian River","Polk",55.66
"Indian River","Volusia",38.85
"Lake","Brevard",214.77
"Lake","Orange",54297.11
"Lake","Osceola",6486.61
"Lake","Polk",2110.39
"Lake","Seminole",9781.03
"Lake","Sumter",17390.77
"Lake","Volusia",3230.51
"Orange","Brevard",6651.51
"Orange","Indian River",91.11
"Orange","Lake",25684.53
"Orange","Osceola",63006.01
"Orange","Polk",12188.87
"Orange","Seminole",112645.96
"Orange","Sumter",937.15
"Orange","Volusia",6047.86
"Osceola","Brevard",1336.35
"Osceola","Indian River",247.01
"Osceola","Lake",2014.23
"Osceola","Orange",127711.37
"Osceola","Polk",11526.45
"Osceola","Seminole",3119.32
"Osceola","Sumter",76.14
"Osceola","Volusia",237.97
"Polk","Brevard",313.57
"Polk","Indian River",75.11
"Polk","Lake",2820.92
"Polk","Orange",32783.67
"Polk","Osceola",21977.55
"Polk","Seminole",881.82
"Polk","Sumter",66.28
"Polk","Volusia",362.56
"Seminole","Brevard",1951.42
"Seminole","Lake",3657.83
"Seminole","Orange",214085.24
"Seminole","Osceola",2799.47
"Seminole","Polk",354.07
"Seminole","Sumter",61.24
"Seminole","Volusia",17857.95
"Sumter","Lake",9614.9
"Sumter","Orange",1004.1
"Sumter","Osceola",76.38
"Sumter","Polk",76.93
"Sumter","Volusia",45.23
"Volusia","Brevard",1459.82
"Volusia","Lake",1609.57
"Volusia","Orange",25423.55
"Volusia","Osceola",480.87
"Volusia","Polk",290.46
"Volusia","Seminole",46169.22
"Volusia","Sumter",171.75
