"source","target","value"
"Brevard","Indian River",328.62
"Brevard","Lake",244.95
"Brevard","Orange",1953.95
"Brevard","Osceola",107.61
"Brevard","Polk",231.83
"Brevard","Seminole",329.3
"Brevard","Volusia",713.17
"Indian River","Brevard",593.12
"Indian River","Lake",76.68
"Indian River","Orange",137.44
"Indian River","Osceola",87.18
"Indian River","Seminole",32.25
"Indian River","Volusia",131.88
"Lake","Brevard",223.91
"Lake","Orange",7023.61
"Lake","Osceola",558.28
"Lake","Polk",1031.34
"Lake","Seminole",953.1
"Lake","Sumter",1765.73
"Lake","Volusia",1592.43
"Orange","Brevard",1768.02
"Orange","Indian River",41.78
"Orange","Lake",9488.17
"Orange","Osceola",2253.08
"Orange","Polk",4955.31
"Orange","Seminole",2369.9
"Orange","Sumter",154.86
"Orange","Volusia",2592.64
"Osceola","Brevard",247.29
"Osceola","Lake",721.03
"Osceola","Orange",2037.54
"Osceola","Polk",4281.72
"Osceola","Seminole",64.44
"Osceola","Sumter",23.29
"Osceola","Volusia",259.31
"Polk","Brevard",280.48
"Polk","Indian River",152.1
"Polk","Lake",1128.68
"Polk","Orange",4684.9
"Polk","Osceola",3699.49
"Polk","Seminole",103.94
"Polk","Sumter",47.91
"Polk","Volusia",340.45
"Seminole","Brevard",190.93
"Seminole","Lake",1638.75
"Seminole","Orange",2025.81
"Seminole","Osceola",143.58
"Seminole","Polk",141.41
"Seminole","Sumter",22.46
"Seminole","Volusia",6960.64
"Sumter","Brevard",119.71
"Sumter","Indian River",27.74
"Sumter","Lake",1835.56
"Sumter","Orange",91.24
"Sumter","Seminole",45.34
"Sumter","Volusia",167.18
"Volusia","Brevard",647.68
"Volusia","Indian River",51.55
"Volusia","Lake",1457.14
"Volusia","Orange",2948.14
"Volusia","Osceola",255.09
"Volusia","Polk",201.09
"Volusia","Seminole",5878.15
"Volusia","Sumter",82.69
