"source","target","value"
"Brevard","Indian River",1141.49
"Brevard","Lake",117.53
"Brevard","Volusia",159.12
"Indian River","Brevard",1510.09
"Indian River","Polk",59.49
"Lake","Orange",96.32
"Lake","Polk",814.92
"Lake","Sumter",3082.05
"Lake","Volusia",508.25
"Orange","Lake",149.43
"Osceola","Lake",66.75
"Osceola","Polk",309
"Polk","Lake",850.3
"Polk","Orange",24.07
"Polk","Osceola",36.79
"Polk","Volusia",120.63
"Sumter","Lake",4216.23
"Volusia","Brevard",220.58
"Volusia","Indian River",38.85
"Volusia","Lake",701.45
